userid,venueid,timestamp
Eddard_Stark,King's Landing,2020-01-01T02:18:06.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T02:18:06.0
Eddard_Stark,King's Landing,2020-01-01T02:18:41.0
Catelyn_Stark,King's Landing,2020-01-01T02:18:41.0
Catelyn_Stark,King's Landing,2020-01-01T02:21:18.0
Eddard_Stark,King's Landing,2020-01-01T02:21:18.0
Cersei_Lannister,King's Landing,2020-01-01T02:22:27.0
Eddard_Stark,King's Landing,2020-01-01T02:24:06.0
Catelyn_Stark,King's Landing,2020-01-01T02:24:06.0
Barristan_Selmy,King's Landing,2020-01-01T02:28:38.0
Lancel_Lannister,King's Landing,2020-01-01T02:28:38.0
Eddard_Stark,King's Landing,2020-01-01T02:50:03.0
Septa_Mordane,King's Landing,2020-01-01T03:08:56.0
Eddard_Stark,King's Landing,2020-01-01T03:11:20.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T03:11:20.0
Lord_Varys,King's Landing,2020-01-01T03:11:20.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T03:13:45.0
Eddard_Stark,King's Landing,2020-01-01T03:13:45.0
Eddard_Stark,King's Landing,2020-01-01T03:15:33.0
Eddard_Stark,King's Landing,2020-01-01T03:19:33.0
Eddard_Stark,King's Landing,2020-01-01T03:20:27.0
Eddard_Stark,King's Landing,2020-01-01T03:22:24.0
Tobho_Mott,King's Landing,2020-01-01T03:22:24.0
Eddard_Stark,King's Landing,2020-01-01T03:22:33.0
Cersei_Lannister,King's Landing,2020-01-01T03:39:50.0
Barristan_Selmy,King's Landing,2020-01-01T03:39:50.0
Joffrey_Baratheon,King's Landing,2020-01-01T03:39:50.0
Septa_Mordane,King's Landing,2020-01-01T03:39:50.0
Cersei_Lannister,King's Landing,2020-01-01T03:41:30.0
Eddard_Stark,King's Landing,2020-01-01T03:41:30.0
Eddard_Stark,King's Landing,2020-01-01T03:46:52.0
Eddard_Stark,King's Landing,2020-01-01T03:47:29.0
Barristan_Selmy,King's Landing,2020-01-01T03:47:29.0
Eddard_Stark,King's Landing,2020-01-01T03:48:24.0
Barristan_Selmy,King's Landing,2020-01-01T03:48:24.0
Lancel_Lannister,King's Landing,2020-01-01T03:50:57.0
Eddard_Stark,King's Landing,2020-01-01T03:50:57.0
Joffrey_Baratheon,King's Landing,2020-01-01T03:54:56.0
Eddard_Stark,King's Landing,2020-01-01T03:54:56.0
Septa_Mordane,King's Landing,2020-01-01T03:54:56.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T03:54:56.0
Barristan_Selmy,King's Landing,2020-01-01T03:54:56.0
Daenerys_Targaryen,Pentos,2020-01-01T00:34:35.0
Daenerys_Targaryen,Pentos,2020-01-01T00:36:41.0
Qotho,Pentos,2020-01-01T00:36:41.0
Daenerys_Targaryen,Pentos,2020-01-01T00:38:23.0
Daenerys_Targaryen,Pentos,2020-01-01T00:54:23.0
